Bafal House On Sale,"location: Kathmandu,Bafal",Rs Npr4.50CRORE
ndu,Budhanilkanta,Italitar",Rs Npr12000000
Thankot House Is On Sale,"location: Kathmandu, Thankot",Rs NPR 22000000/-
Grand Bungalow on sale at Manamaiju,"location: loktantrik chowk,Manamaiju,Kathmandu","Rs 7,35,00,000"
Thankot New Resident,"location: Kathmandu, Thankot","Rs Rs 1,65,00,000"
Thankot Near To High Vision Colony House On Sale,"location: Kathmandu, Thankot",Rs NPR 18500000/-
Thankot Near To High Vision Colony House On Sale,"location: Kathmandu, Thankot",Rs NPR 11500000
Thankot Near To High Vision Colony House On Sale,"location: Kathmandu, Thankot",Rs NPR 17000000
"Dhungedhara, Arahiti","location: Kathmandu, Dhungedhara","Rs 33,000,000/-"
"Kathmandu,Sanobharyang Bungalow On Sale","location: Kathmandu ,Sanobharyang",Rs NPR 31000000/-
"House sale in Dharan-4, Bhedetar, Tourist village.","location: Purwanchal Campus Football Ground, Panmara Road, LANGHALI CHOK, Dharan, Dharan Sub-Metropolitan, Dharan, Sunsari, Koshi Province, 56100, Nepal",Rs 21500000
"Sitapaila,Syuchatar House On Sale","location: Kathmandu, Sitapaila,Syuchatar",Rs NPR 23500000
"Kathmandu,Budhanilkanta,Italitar House On Sale","location: Kathmandu,Budhanilkanta,Italitar",Rs Npr12000000
